D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|36000.00 
37846|2001|Ford|Ranger|truck|Yellow|172544|36000.00 
44901|2012|Honda|Civic|SUV|Gray|103221|36000.00 
12346|2018|Dodge|Charger|Car|Red|123456|36000.00 
12345|2023|Dodge|Challenger|Car|Grey|205|36000.00 
23456|2015|Ford|Fusion|Sedan|Silver|80000|36000.00 
34567|2019|Toyota|Rav4|SUV|Blue|45000|36000.00 
45678|2016|Honda|CR-V|SUV|White|60000|36000.00 
56789|2017|Chevrolet|Equinox|SUV|Black|70000|36000.00 
67890|2014|Nissan|Altima|Sedan|Red|90000|36000.00 
78901|2020|Jeep|Wrangler|SUV|Green|30000|36000.00 
89012|2013|Hyundai|Elantra|Sedan|Gray|100000|36000.00 
90123|2018|Subaru|Outback|Wagon|Brown|65000|36000.00 
12321|2015|Kia|Soul|Hatchback|Orange|85000|36000.00 
23432|2021|Volkswagen|Tiguan|SUV|Yellow|40000|36000.00 
45654|2019|Audi|Q5|SUV|Black|50000|36000.00 
56765|2016|BMW|3 Series|Sedan|Blue|70000|36000.00 
67876|2018|Lexus|RX|SUV|White|45000|36000.00 
78987|2014|Infiniti|Q50|Sedan|Gray|85000|36000.00 
89098|2020|Tesla|Model S|Sedan|Red|35000|36000.00 
90909|2017|GMC|Sierra|Truck|Black|80000|36000.00 
23232|2015|Ram|1500|Truck|White|90000|36000.00 
34343|2019|Ford|Escape|SUV|Green|55000|36000.00 
45454|2016|Toyota|Corolla|Sedan|Silver|70000|36000.00 
10123|2022|Toyota|Camry|Sedan|White|15000|36000.00 
21234|2023|Honda|Accord|Sedan|Black|12000|36000.00 
32345|2022|Ford|Explorer|SUV|Red|18000|36000.00 
43456|2023|Chevrolet|Tahoe|SUV|Blue|14000|36000.00 
54567|2022|Jeep|Grand Cherokee|SUV|Gray|16000|36000.00 
65678|2023|Subaru|Forester|SUV|Silver|11000|36000.00 
